# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6669.4360,47.4865
6669.4751,46.4478
6669.5142,47.2142
6669.5533,51.3178
6669.5924,38.0871
6669.6315,37.2027
6669.6706,43.6140
6669.7097,46.1550
6669.7487,50.7502
6669.7878,45.4972
6669.8269,38.9604
6669.8660,42.0854
6669.9051,41.9863
6669.9442,36.6791
6669.9833,37.6103
6670.0224,32.9558
6670.0615,27.9678
6670.1006,48.8717
6670.1397,38.4050
6670.1788,29.9163
6670.2179,32.4981
6670.2570,35.1852
6670.2961,47.8377
6670.3352,56.8706
6670.3743,52.5972
6670.4134,52.3768
6670.4525,42.6407
6670.4915,31.8584
6670.5306,39.2212
6670.5697,47.6837
6670.6088,47.3107
6670.6479,45.4337
6670.6870,50.5593
6670.7261,37.5710
6670.7652,42.2698
6670.8043,56.3388
6670.8434,45.2032
6670.8825,39.9737
6670.9216,57.4724
6670.9607,50.5941
6670.9998,37.8936
6671.0389,44.4945
6671.0780,48.0487
6671.1171,43.2618
6671.1562,41.8555
6671.1952,51.1657
6671.2343,55.5752
6671.2734,46.1836
6671.3125,40.2137
6671.3516,37.8571
6671.3907,47.2252
6671.4298,49.6606
6671.4689,31.6099
6671.5080,37.0235
6671.5471,46.0755
6671.5862,51.8074
6671.6253,50.8125
6671.6644,38.4857
6671.7035,46.1401
6671.7426,44.3648
6671.7817,39.8775
6671.8208,40.7057
6671.8599,40.9855
6671.8990,31.8668
